company_name,MRP,production_cost,transportation_cost_percentage,selling_price,labour_cost,raw_material_cost,rent,advertising,tax_percentage,R_and_D
Yellow Diamond (Prataap Snacks),40.52786766,8.262133148,4.321226582,26.28910166,4.399371891,3.347818706,3.936980459,1.022904129,13.58054889,0.524649505
Open Secret,23.93724572,9.991076105,6.121242924,42.9589401,3.416766421,7.467856364,6.343870559,2.540157703,7.770213497,1.165154881
ITC (Bingo!),38.30528621,6.183995649,5.618723847,26.52851316,1.665002831,9.971260409,7.620103332,5.015472603,8.165711883,1.252468233
Yellow Diamond (Prataap Snacks),30.91709177,14.45021196,7.784038958,22.34621734,3.113606772,8.843992781,5.159194666,5.179061746,12.93942883,0.971988267
Balaji Wafers,36.391896,11.44104821,5.71174517,19.72209576,2.814342064,8.717908142,3.657199767,5.565202448,16.22645681,1.894900837
Makino (Sensible Snacks),22.83376163,8.354327042,2.734089497,31.53472252,2.156425437,6.225122243,7.462856159,5.282299158,8.007643846,2.661319609
Bikaji Foods,42.43474609,5.673849811,3.025250939,38.02810172,3.606042471,4.063126664,4.819513172,5.392209245,9.573709102,1.989113915
PepsiCo (Lay’s),32.50162936,5.84227075,5.480979243,43.61250706,2.16403918,8.248736446,4.945637563,3.109224898,15.67347359,0.828054817
Haldiram's,36.37414551,12.250365,4.146175689,40.48249641,4.366987813,5.839433852,6.189252458,1.757703252,11.82671066,3.24513426
ITC (Bingo!),32.0709443,9.32827129,7.401357113,28.4432615,4.325825273,9.170828338,4.558498411,5.774970781,15.10316999,3.969964015
Parle (Parle Wafers),22.72853613,6.655314161,6.209214236,40.64074371,2.242952016,6.852173384,2.317756641,5.903775499,12.74667162,0.662078507
PepsiCo (Lay’s),25.68879589,6.522487064,3.049262863,34.4502104,1.077884426,6.829622644,5.255170062,4.769376062,11.08901413,2.235170816
Open Secret,36.06600732,10.95012592,4.938569607,26.77063684,1.272502537,6.429459508,3.017955908,5.934180845,15.75237271,3.626900731
Open Secret,46.01368582,13.66795103,7.696934636,30.42149095,4.07953952,7.40123357,5.233398403,2.240013814,8.146718331,3.820499249
TagZ Foods,42.74391844,13.76185593,3.153818846,40.15866352,3.565493274,9.84809514,7.623442661,2.937167155,11.39226352,1.587306099
PepsiCo (Lay’s),37.68907567,14.73319278,3.786079758,27.54529872,1.840586141,5.215087735,4.325524173,1.863992615,13.43973254,1.260139394
Makino (Sensible Snacks),48.44867876,14.71253643,4.352175009,34.97461136,3.253086264,3.880251077,7.22121271,4.944295282,14.62303531,3.038291818
Yellow Diamond (Prataap Snacks),46.2484299,14.37527579,6.094987428,22.38144256,2.933307773,5.237707356,2.462377562,1.861211803,6.721688435,2.720136442
Open Secret,29.52056818,10.39727583,2.324377397,24.42081674,3.442964967,7.911167105,5.608183289,5.829824563,17.77098347,0.70241922
Too Yumm,49.07996872,14.99024444,7.905743356,44.82954703,1.188791748,3.143636131,2.774869403,4.371973788,9.489236811,1.777736657
Too Yumm,27.17004587,9.991002154,2.371877448,38.14419118,3.475868479,5.443702485,6.246357216,3.751681763,7.410010105,1.564557151
Too Yumm,26.20049818,7.108781191,4.948347146,28.11116658,1.505152953,7.396263966,7.642515707,2.281290399,7.796360335,2.904526902
Haldiram's,26.55175239,13.20501865,7.697975766,20.10011479,4.971390398,4.664506282,6.259936735,3.857966415,16.3280713,1.133360061
PepsiCo (Lay’s),29.54900763,12.63573342,3.937085881,27.37040375,2.08472371,5.474018465,6.485181407,3.623055021,14.16586017,1.289202473
Parle (Parle Wafers),48.85763557,10.42220798,6.977562009,33.37358443,1.276868719,3.550033677,3.735209848,2.275718465,12.46760852,1.363232811
Open Secret,25.47159998,5.827951633,7.735124076,44.84263377,1.149311558,3.148715984,3.732688199,3.539607167,6.908842346,1.473575701
Balaji Wafers,35.6594521,5.109432442,3.370362662,27.25235575,2.352498167,7.738871364,5.555324045,3.97391386,6.444857839,2.997560124
ITC (Bingo!),38.13969191,7.409912435,7.064032665,43.49122399,1.799606818,7.245083636,2.832878963,5.506089317,14.15654245,3.578477268
Bikaji Foods,28.04999355,12.47441622,3.763881599,34.55747401,3.86923649,3.371462031,3.758217254,4.487132549,13.01192339,1.567326155
Parle (Parle Wafers),23.65989829,7.180059193,4.526502654,41.25765987,2.043297222,9.672621365,7.937130895,4.860534746,14.41584048,1.050934371
Parle (Parle Wafers),41.34460235,10.10407962,7.254200266,18.90491883,3.867337424,8.975386111,3.839217815,1.416705235,13.38075744,2.514544511
Parle (Parle Wafers),22.24298449,14.33939972,5.0055434,28.89448737,1.457065669,6.375750811,4.030700097,2.09363098,16.5330287,0.81787477
PepsiCo (Lay’s),26.34565211,13.64665178,7.949158739,32.68619241,2.814388074,7.780076845,6.524647497,4.132101627,10.68415087,1.330776132
Bikaji Foods,20.7028353,5.774386952,4.448946015,26.90468559,4.342746549,5.948348459,7.463935285,3.198850611,7.218632366,1.73788229
PepsiCo (Lay’s),21.12864965,13.44952456,3.939098543,42.95154903,1.418962216,4.751703016,7.140882257,2.688860236,5.729492729,1.465157697
Makino (Sensible Snacks),32.3169237,8.548633259,4.572476845,36.13913208,2.677270416,8.300710938,3.294569297,3.076280803,11.30137922,1.760114601
Yellow Diamond (Prataap Snacks),21.97105133,10.10661507,2.858662635,29.61056906,3.176579257,9.543869545,5.364711611,2.628041043,8.301200078,2.751554744
Too Yumm,37.59589333,12.93246951,6.681056032,33.37137197,1.11652511,7.028831274,7.412585917,5.954329737,6.832880232,1.786182509
Yellow Diamond (Prataap Snacks),20.20854264,7.399937349,7.599632123,26.36155586,2.346049319,5.052768027,7.560034601,3.708061388,17.73878396,0.749908797
Parle (Parle Wafers),26.67783363,5.042246198,4.801330625,38.93404617,4.173586162,6.908050581,3.263620185,1.890696916,7.572727411,0.97788375
Parle (Parle Wafers),30.09206959,8.304773826,3.915894824,39.97749365,1.978584815,6.848624444,6.298289246,5.434252444,6.866994973,0.506466633
Haldiram's,28.67161116,10.20977093,4.020386924,34.69782031,1.382230047,4.709130428,3.574142983,5.070857111,7.83657857,3.710296431
Haldiram's,30.67487578,10.73380982,7.905065565,23.64109446,4.895447635,5.515158971,3.135771605,3.194404822,15.49913492,2.758947833
Bikaji Foods,29.8871766,5.89505666,7.560856802,27.49026788,1.214330843,5.197090533,7.967601002,3.15404177,15.80011198,2.644844179
Bikaji Foods,36.25925298,14.2088386,5.485870581,34.88586266,2.792659558,6.752174265,3.54993433,3.212503676,8.272188387,2.454905057
Too Yumm,20.68771962,7.789106874,4.230071976,26.58613945,2.415382796,8.968142161,4.743831465,3.585260401,13.38962773,1.570331186
ITC (Bingo!),47.29210725,14.72233639,4.807731465,24.52766989,4.766325446,4.250300352,2.683560461,5.067374484,9.750956858,0.606050368
Bikaji Foods,38.78889277,12.01898871,5.461743849,34.96199804,4.929285628,3.838087761,4.895378147,4.580728871,9.002955274,1.846644518
ITC (Bingo!),44.52020781,8.990240126,4.604534552,28.31909952,2.182464744,7.426085139,4.61209788,5.710290391,13.45755134,2.191483335
Parle (Parle Wafers),48.9026734,11.16076423,2.438527989,19.67452066,2.547010199,9.438306594,4.103927822,1.506748603,11.83663066,1.889350611
PepsiCo (Lay’s),29.44848086,8.667327505,5.836106409,28.68668644,1.648612906,6.438686744,6.905577926,2.459634583,14.91743246,2.866742729
PepsiCo (Lay’s),29.21235609,6.175162762,6.705459959,24.63691784,3.746567283,5.959345102,2.039700264,1.547860728,16.65067613,3.462259955
Balaji Wafers,37.37351379,14.86631261,7.940965621,42.28980638,3.010192644,4.901038828,6.664412926,5.669688195,8.057845357,3.249557276
Yellow Diamond (Prataap Snacks),26.04830447,8.206851642,3.275642346,28.04991808,1.997593133,5.233154515,4.098925444,1.491010522,17.54395394,3.744906792
Too Yumm,26.1285451,8.833965736,3.380576286,41.35543517,2.346381815,7.520696906,3.172486614,1.878070224,14.48664584,1.10457428
Yellow Diamond (Prataap Snacks),41.31581495,7.632733468,5.229501889,22.38449011,3.64697345,4.521618766,3.106970014,5.81702361,16.35156409,1.957770126
Kurkure,25.26141996,12.91130304,5.288884681,43.5924893,1.43645669,6.665565031,6.246781863,2.76181043,14.44096329,3.454251023
Balaji Wafers,43.56745063,9.584049383,7.764360947,19.18226077,4.055376134,3.517875167,4.917094934,3.254813239,11.11650044,3.400247238
Haldiram's,38.20336219,10.11258439,4.969127894,25.00387419,3.61916929,3.474316715,5.051041971,1.151303962,8.642061194,1.403226159
Too Yumm,32.06983995,7.61921323,7.528073312,36.40482095,2.761225307,7.023535105,7.549672673,5.330172678,9.586436056,2.049356618
Yellow Diamond (Prataap Snacks),39.61692077,9.92828413,5.398904711,43.36395248,4.475034577,4.189351771,4.200194214,3.106360303,15.52315752,1.999006226
Balaji Wafers,36.77892987,5.055821242,5.87571136,26.40662201,4.079595804,5.293453506,7.618349187,2.212431649,5.204625431,1.651452016
Too Yumm,36.49970803,11.73541858,7.092760901,40.26792665,3.771307791,7.467825312,4.84505022,1.98720471,8.064498626,1.991263543
Bikaji Foods,20.41652026,6.589244397,7.84912674,23.31816393,1.639917246,4.411749027,4.142065812,3.817566971,12.98798339,2.81302859
Yellow Diamond (Prataap Snacks),48.17166611,11.62657564,2.668004953,23.21905011,2.201798582,8.827370604,5.428727272,4.913100669,17.65428174,2.160824758
Kurkure,30.79195514,7.127547196,4.395387179,22.83287629,4.15995279,3.120731199,5.847615648,4.073865234,7.501123513,1.185759781
PepsiCo (Lay’s),37.17220296,6.357321633,5.492180784,25.4888698,2.781466838,9.766109036,5.465422703,3.975494683,15.92225373,2.532935337
TagZ Foods,20.51207781,7.586879801,2.310039938,18.78830149,3.347117157,6.684796795,2.307156692,1.973228592,7.729295313,1.021575234
ITC (Bingo!),30.75848507,12.4489944,2.639509607,25.4900964,3.591501308,8.716133251,7.844572324,5.231472385,6.714474818,2.366302441
Bikaji Foods,48.5958654,8.182049558,7.788319348,43.89024587,1.032825488,8.722478756,7.305060673,1.319381611,5.362009102,1.504053308
Bikaji Foods,30.70746292,12.27781041,6.3078105,33.15534801,1.162530276,8.853941965,2.94049858,4.305572817,9.373452702,2.75695738
Makino (Sensible Snacks),48.80494531,6.594496341,3.013182214,32.85101651,4.966279787,8.990858167,7.514308789,4.966234182,6.319720822,2.838221202
ITC (Bingo!),21.48635865,13.97536359,6.364877601,40.95697832,3.81412127,3.372101339,5.771785926,1.432735608,9.540416581,1.340653255
Bikaji Foods,32.38057823,5.6903611,6.589270505,27.31881443,3.711836107,9.550466331,7.925587353,3.664981174,9.068581785,3.643587946
Kurkure,38.87105022,8.365390133,2.498137828,20.55307275,3.051345863,7.871333209,4.701740251,1.851497235,10.41519465,1.596690287
PepsiCo (Lay’s),40.40181648,14.054409,7.559569969,27.20314761,1.891402106,7.9092268,4.834069893,4.076192073,14.89507964,2.16071428
Yellow Diamond (Prataap Snacks),31.35860464,5.121037323,4.777320642,29.81095874,2.681094423,8.034112419,4.517228809,5.071632097,13.33239304,2.201125421
Makino (Sensible Snacks),23.82059236,14.22828883,2.101835909,39.82034665,1.950412433,5.546980264,7.519557213,3.305065175,12.62701192,3.452541475
Kurkure,49.26948673,8.839890517,3.519511929,19.3171109,1.314676642,9.620265458,4.483144193,4.492827604,15.43915418,2.481523728
Haldiram's,29.04295635,9.80651451,4.681243527,42.78947501,2.791445573,5.591252564,4.290623214,2.976121397,11.5063749,3.891377351
Open Secret,39.44664835,14.11161574,3.994043748,35.82724311,2.141535882,8.813059769,2.155969806,5.761012851,7.974360244,2.287605596
PepsiCo (Lay’s),32.13837342,6.924923529,2.084071057,40.18517531,3.175394899,3.683581322,4.498730005,5.001412389,14.1223334,3.842331021
Makino (Sensible Snacks),40.66969093,10.75271026,5.511374226,21.46262579,2.597313792,8.399378751,7.673659887,3.448560007,15.50225594,3.527844548
PepsiCo (Lay’s),30.61163248,7.195786135,6.891406537,27.31786444,4.015532377,8.13433247,3.565896419,4.398272484,5.487394572,3.828347092
Parle (Parle Wafers),44.20123915,13.49058459,4.728219059,41.58879118,1.859070379,8.472141959,2.926279933,5.26100914,9.687955185,3.121775459
ITC (Bingo!),28.60724884,10.25724846,7.991092076,18.60338497,1.572036662,4.435480362,4.405223195,1.98335791,6.232280575,3.887760384
Parle (Parle Wafers),28.23604768,9.865398724,2.146159833,32.19180644,2.108951574,3.33098502,6.123309394,1.648468834,6.463110794,1.57213439
Yellow Diamond (Prataap Snacks),39.87181105,11.52361246,4.823970111,21.99537478,3.141095491,4.857693987,5.701361406,1.037232666,15.46684536,1.301668346
TagZ Foods,36.35700533,12.99963199,4.163601018,23.51770207,4.147107834,9.086882564,7.522887281,5.672394911,13.01589578,3.507784152
TagZ Foods,36.55686231,14.62294116,4.969540274,35.33991266,4.367743021,9.944696625,6.171796922,2.928913617,15.08512761,3.531437091
PepsiCo (Lay’s),40.20668783,13.96338384,2.622701639,44.74752955,4.212320745,7.751376041,7.140768216,2.441545744,6.945518886,3.698758586
TagZ Foods,24.61496486,6.602450172,7.464118233,29.76680013,2.434823364,6.397970809,6.633355661,5.582328293,8.91543483,3.229927326
Open Secret,36.67249441,5.024922542,5.835449406,27.95557975,2.29135814,9.079426647,4.168392195,3.694407916,8.800040923,3.277528743
Kurkure,36.03461524,9.813451826,2.932751641,41.7956387,1.889302188,5.783638821,3.750613682,4.822111823,15.56021081,3.601971368
PepsiCo (Lay’s),28.46088216,8.700685147,6.970757475,26.85566665,3.241646478,7.162838649,4.378370784,4.925324602,9.666999793,2.259494175
ITC (Bingo!),36.00687785,13.99386661,4.066911855,32.37664936,1.339878348,6.960534123,5.763493482,2.572330389,8.763779611,3.1312071
Balaji Wafers,24.20309629,6.523921675,3.638354803,42.70156094,2.280981404,6.436525002,5.781216359,1.849751541,5.451681853,0.597984476
Balaji Wafers,38.31695515,5.189810876,3.92559444,39.98509305,3.34327279,7.018546253,4.752549506,3.875859569,7.624618352,2.442628266
Open Secret,32.41301393,13.19759045,3.880891533,35.51981387,4.9394237,7.856569809,4.876248732,2.064988046,13.59199849,3.481864569
Haldiram's,43.26557018,14.12902605,2.169794168,43.36707573,1.361986876,6.018834301,7.272324852,5.251442765,11.34661994,2.803679643
Makino (Sensible Snacks),24.18916438,11.37356643,2.652619166,24.73296139,2.527684449,8.368560252,5.979014553,2.243838602,16.53700941,2.848508512
TagZ Foods,43.28413361,7.097190433,4.332199374,35.64310675,3.963112985,8.848822212,2.091975787,1.337676034,9.906513542,0.570559817
Parle (Parle Wafers),48.16009952,9.677538188,5.522665563,28.86718322,2.703569913,5.746584272,3.901109968,3.577596484,6.209901343,3.877111404
Makino (Sensible Snacks),47.44872717,13.46196416,2.907783489,43.90568911,3.154544502,7.949457418,2.281505704,4.512322365,8.71650483,0.535607082
Bikaji Foods,38.99268157,5.061826989,7.360313799,22.28552915,1.678368769,4.919673222,4.63801449,4.524682728,11.85571956,3.428676331
Parle (Parle Wafers),48.91794637,9.13350762,5.996133885,44.01235279,4.381683899,6.886563691,7.232406743,1.266062502,16.28265771,1.806628976
TagZ Foods,20.49056396,5.608424379,2.989655423,30.0551674,2.242653827,4.617396542,3.770462387,3.141495764,15.42854411,2.259706289
Bikaji Foods,24.46380024,5.57383807,3.506406539,19.84815361,1.675041789,5.854721007,3.102544114,2.930921513,10.12688009,3.802811728
Makino (Sensible Snacks),27.73222306,10.12888317,3.450654534,21.26153971,1.742809844,7.432287254,6.687480795,1.938365267,12.30702589,1.964522957
ITC (Bingo!),49.03874641,12.24703271,3.801305126,35.98134072,4.070431228,8.264494206,2.226701145,2.03139929,17.20949564,3.225574605
PepsiCo (Lay’s),30.06801859,12.86221463,6.912805742,27.28447001,3.993100754,7.849976052,3.812904954,5.55239674,6.250604863,0.633192867
Parle (Parle Wafers),29.0491133,13.54095615,6.290752034,34.18097234,2.804296623,5.652805798,2.729753681,2.667228553,11.51091464,2.672463675
Too Yumm,47.68184027,5.452950785,4.954333005,32.77321301,2.913354307,7.857151754,7.848755627,1.130439831,15.84239998,3.631139824
PepsiCo (Lay’s),39.84820598,12.49001587,7.5728111,38.66229402,2.7043197,7.66157223,6.374064625,5.192720329,8.612424125,1.474687383
Kurkure,26.90722503,6.338660064,3.401022903,39.83099814,1.33625471,5.668985207,4.672195588,5.391747117,10.52563266,0.739068065
ITC (Bingo!),30.34473437,8.525805324,2.772881996,19.80121585,1.489009503,3.327665013,4.719960381,1.750363134,15.91711846,1.216398823
ITC (Bingo!),45.94415854,11.44084632,2.803073617,25.81227326,3.422590243,6.578485693,4.959766782,1.837633802,7.661166096,1.744645487
Too Yumm,35.96771118,7.90818712,2.405857851,25.50731897,1.310713596,8.128176543,4.489264567,3.834820521,11.18269357,1.075812019
Balaji Wafers,24.04926883,11.14316556,3.390915794,34.24835309,3.476121271,5.299881696,3.895532283,2.268457596,16.10219379,2.917295338
Bikaji Foods,20.93384693,14.11856814,6.51072631,24.68204652,4.713080731,5.096662557,7.733988542,1.962949288,6.11145013,1.5770331
Open Secret,42.19344138,13.65618081,5.835082386,34.1723401,3.763350085,8.487016918,7.02921222,4.071807698,5.209604888,2.949868682
Parle (Parle Wafers),20.72740338,11.39749824,3.18268097,44.47318137,2.455536464,4.113910303,5.751460499,1.87305947,8.174203992,3.477168162
PepsiCo (Lay’s),44.00149158,12.57948871,4.934822248,21.69350327,3.422553115,6.107558186,5.944693846,3.220243533,17.96198942,0.75722454
Haldiram's,22.25130161,14.71438905,6.273635865,35.46439544,2.751337631,5.096913455,3.509484571,5.367067365,9.562616909,3.53427123
Too Yumm,45.49480082,11.96194366,4.294488857,35.66805635,1.3593015,5.120225748,3.908832058,3.795559507,13.32253897,2.689323842
Yellow Diamond (Prataap Snacks),48.55745363,10.76006112,6.52958725,43.53454544,3.611373047,6.14650755,4.348356441,3.411726878,8.467998834,0.733079228
Yellow Diamond (Prataap Snacks),43.391246,7.477403511,5.557843113,41.71053541,1.937662619,8.250985699,3.285858395,2.39458074,8.520522215,3.757573973
Kurkure,21.67465805,5.415169449,4.187237911,30.60339662,4.981331461,4.126384142,6.763571291,2.447453969,13.85223632,0.841019032
Yellow Diamond (Prataap Snacks),25.87834482,5.972153701,6.834713044,39.68666607,3.780629559,8.072760995,7.083696128,1.959807276,16.2169301,2.519492657
PepsiCo (Lay’s),46.71627255,7.878194017,2.836957128,41.55945923,4.152761404,3.661692016,2.246854882,1.66373842,12.97502596,2.15595439
Makino (Sensible Snacks),46.33601505,10.83445274,5.848794901,21.09010591,4.791556323,6.801088683,6.663664276,5.791469402,16.92745227,2.177367837
Bikaji Foods,37.20424504,12.48578154,5.90694162,43.27727516,3.022839786,6.205366919,2.102625485,5.447672559,14.77799027,1.034198134
Kurkure,32.64844476,8.98132051,4.948401048,22.61678064,1.381141933,5.721626382,3.110934446,1.192792796,5.024203145,1.009340471
Bikaji Foods,33.22881273,12.57830043,3.300107958,39.4855267,4.73989761,6.282044035,7.412865753,2.434490618,5.169534356,3.286591441
Haldiram's,29.68403263,9.146495524,5.450012847,35.98111497,2.244924938,4.318559532,3.839446779,3.482567461,16.70885781,1.570987605
Too Yumm,37.34855568,13.26873434,6.502302832,31.76136094,4.98263252,5.838157515,3.486616139,4.900456322,8.364686891,2.940409918
Haldiram's,37.13506339,12.68264398,5.67994854,32.00458302,2.863279145,8.060331391,5.233598353,3.502397061,8.182556621,0.763500908
Yellow Diamond (Prataap Snacks),27.03600109,6.247505029,7.315172112,27.76088537,2.884163583,6.923981322,6.316704483,5.138343693,16.91376346,2.652911376
Parle (Parle Wafers),33.11501309,9.604145479,6.315567266,27.55226007,4.173161984,9.025783238,3.827288359,1.34817752,12.61457988,2.523341025
Makino (Sensible Snacks),42.54162691,7.910878167,7.968380018,20.5056318,2.166024056,5.094161761,2.173773642,2.895644378,6.294506656,1.225047168
Yellow Diamond (Prataap Snacks),31.89841573,10.29567741,4.515317682,35.86275573,3.204496406,5.029976003,4.360258339,3.987449939,15.55300317,3.068032521
Balaji Wafers,26.91443882,8.511407982,6.507181298,20.27245088,1.560261914,3.622570285,6.428781827,2.471470368,6.979585714,0.551400967
Too Yumm,47.88984803,12.56756548,7.87738956,44.34363118,1.743372957,6.932181794,2.776103971,5.465091227,14.21588722,2.21771942
Balaji Wafers,44.73329836,14.83218259,6.049945181,33.20048826,1.465051137,3.119739238,4.248577961,5.962901371,16.25845057,3.973959988
Haldiram's,24.72601334,13.97079222,5.509867329,44.10911158,2.159259893,7.620380537,2.221551428,3.037626772,5.278201466,3.542946738
Haldiram's,25.64111287,6.451753101,4.71232525,41.78416817,4.906214214,8.875138614,3.107209552,5.274699053,8.636006337,1.289190648
Haldiram's,22.66718731,13.00833004,3.359865846,31.01430542,1.905269293,8.577907949,5.545995159,3.528162177,10.83199363,3.782640963
Bikaji Foods,37.92305278,5.558813466,3.142321944,28.49032065,1.111572449,6.646797241,3.134341101,3.170064651,6.13857837,1.660470438
TagZ Foods,34.00075869,10.84802454,6.950955308,38.18359037,3.637841606,4.650894292,7.4045054,1.62729282,7.840835671,3.318401547
Haldiram's,21.97193726,7.924124061,2.231160871,25.09900468,3.09268211,8.857795905,4.611392039,2.33563041,11.44615465,2.55366302
Yellow Diamond (Prataap Snacks),45.84815574,9.634929244,7.306330868,42.48005987,1.871859999,8.175519344,7.143958131,3.768019295,12.68845261,1.73422616
Balaji Wafers,24.72914269,5.651895681,6.483328373,36.35537879,2.283378834,3.311301961,3.071198778,3.121092077,10.66508266,3.205574562
Kurkure,21.4573233,10.65472318,3.208778691,25.8980645,3.436373428,7.841974686,3.50415316,3.966185343,13.74804263,2.329684335
Balaji Wafers,28.74916434,13.63832812,7.234478787,20.89371879,3.471604706,7.772834487,6.118394859,3.820431289,6.87697203,1.283517448
Balaji Wafers,43.2514189,11.14248576,6.768449777,27.56534108,3.993323315,9.805197438,7.0905839,5.349138872,15.41000701,1.030816556
Yellow Diamond (Prataap Snacks),40.47341852,13.09515587,6.879108487,18.32076997,3.765680092,8.040245352,4.339034903,4.120243432,15.57003361,1.452102514
Makino (Sensible Snacks),31.18361304,5.371431637,3.052606487,37.66765067,2.82657929,3.472735068,7.338981095,2.28846306,6.398724297,3.353890224
Haldiram's,30.23919935,12.31609423,6.502596387,19.76371365,2.985242583,6.148772641,2.311974404,1.256232302,14.55427587,2.957716416
TagZ Foods,32.06519825,11.60115502,5.279410581,29.95500588,4.121163809,6.380868354,4.705125685,3.503757162,16.8003811,1.503807873
PepsiCo (Lay’s),20.44345436,8.921340412,6.595558222,21.57607675,1.314457322,4.352691307,6.895252811,4.797106436,13.00588049,3.65504851
TagZ Foods,32.7799774,11.87610117,7.387966285,31.09854269,1.818637365,7.816235765,4.907385594,1.879837572,9.615527548,1.265428106
Haldiram's,45.27480064,8.171325203,2.587676094,33.60818213,1.157398954,6.3799027,5.719996279,1.680158398,10.54425901,2.609143581
Bikaji Foods,39.04429469,5.916600712,7.494548684,22.58325959,4.091391861,7.416484152,2.071753343,1.729059642,7.101465659,1.92236691
TagZ Foods,24.77233781,6.054117277,2.536368042,31.5872395,4.450236157,7.801285656,4.492010649,3.396194743,15.5696481,3.608971858
Makino (Sensible Snacks),26.36015777,6.3666259,4.282110786,39.93840286,3.473165036,3.033471677,7.458009779,1.8542828,9.064201924,1.134138399
Bikaji Foods,42.50871792,9.420774431,2.131311232,29.72985468,3.744749114,7.772120239,5.272649541,5.369167406,7.033077765,2.36009436
Balaji Wafers,44.29964645,10.82693037,7.804511595,20.86667196,3.586522886,9.509438633,7.421788911,5.483921171,10.38696492,1.15684783
Makino (Sensible Snacks),44.42129926,7.978887103,3.688046175,34.37662331,2.189411241,4.641032401,6.018248555,1.717032059,6.976892632,1.130990607
TagZ Foods,42.09913781,9.909067625,5.486904197,33.43724232,2.726714509,5.630556728,3.867720451,1.227333036,13.82643881,2.430738227
Makino (Sensible Snacks),39.12257864,10.89534245,3.686425144,31.28561603,1.893580907,3.910994426,3.668529601,5.542729648,12.05437925,1.32118334
ITC (Bingo!),42.26961686,13.82589277,2.824213384,33.68504181,3.489554658,5.089988659,3.748354128,1.413880664,5.9844902,3.958730335
Parle (Parle Wafers),34.75981112,9.374816244,3.396735632,22.13944432,2.502401629,8.95619137,6.392662203,5.807229474,8.245130239,3.750949766
Yellow Diamond (Prataap Snacks),44.54132583,5.142698421,6.425025351,28.72188469,2.202240401,3.507423478,2.309240073,5.305212232,16.1412553,2.499073869
Yellow Diamond (Prataap Snacks),44.416395,11.2766685,7.02744248,32.13975187,3.722459435,3.67035478,3.953008721,1.70564484,5.269142552,3.655725923
Haldiram's,20.70674393,14.36166312,7.316164699,22.46223103,4.57180173,7.309839715,7.648671216,1.37696472,14.06590653,1.878131185
Kurkure,34.73901951,7.390299679,5.869262234,19.71306049,4.991343024,9.029112423,3.158844309,2.123516488,6.776465472,2.139077645
Makino (Sensible Snacks),37.57195017,5.542292059,7.278912041,27.52736919,1.892645822,6.013090269,3.862078836,3.119390332,11.84389795,0.867016092
Kurkure,29.5658693,11.367344,4.430786783,37.36729815,3.854121467,8.495082751,5.902805728,5.947808174,15.47180837,3.779977621
Makino (Sensible Snacks),24.81176889,13.59640747,5.232931231,21.28445724,3.098443531,3.546762745,7.812310455,2.873503449,9.49256477,3.381279152
Parle (Parle Wafers),21.75319191,10.930674,3.268973434,30.55462422,3.212876122,5.446193578,7.325521572,4.237796559,13.98712219,2.870591082
TagZ Foods,25.12644969,5.116768445,5.876876439,31.07944502,1.64054558,3.091727653,2.542397697,2.180040441,9.879042184,2.896046089
Bikaji Foods,39.89997675,8.953471075,5.835501714,35.02996075,2.192560028,3.112599723,4.101264023,5.793778994,9.554534915,1.785593501
Haldiram's,42.63449864,13.33282384,2.195507423,18.12431857,2.318369204,8.274806677,7.036500227,4.110080152,12.32390095,0.777415119
